15.000000		50.465000	131.360000	f
93.239000		27.000000		56.765000	125.180000	f
96.788000		41.000000		55.702000	113.320000	f
96.981000		42.000000		55.626000	112.480000	f
97.085000		61.000000		55.844000	96.697000	f
100.760000		63.000000		55.780000	95.001000	f
100.940000		65.000000		55.782000	93.295000	f
100.920000		70.000000		56.210000	89.130000	f
100.140000		107.000000		49.204000	75.683000	f
76.456000		109.000000		48.203000	75.248000	f
75.152000		113.000000		46.452000	74.307000	f
72.394000		114.000000		46.035000	74.113000	f
71.678000		115.000000		45.619000	73.830000	f
70.993000		
