8		45.081000	133.300000	94.322000
9		45.875000	133.290000	94.020000
11		47.438000	132.860000	93.528000
12		48.204000	132.530000	93.366000
15		50.465000	131.360000	93.239000
19		53.423000	129.830000	93.858000
21		54.786000	129.040000	94.499000
24		56.327000	127.430000	95.702000
27		56.765000	125.180000	96.788000
30		56.653000	122.630000	96.803000
35		56.146000	118.400000	96.528000
38		55.982000	115.850000	96.739000
41		55.702000	113.320000	96.981000
42		55.626000	112.480000	97.085000
44		55.601000	110.810000	97.458000
51		55.849000	104.960000	98.625000
61		55.844000	96.697000	100.760000
63		55.780000	95.001000	100.940000
64		55.763000	94.148000	100.950000
65		55.782000	93.295000	100.920000
68		56.069000	90.778000	100.560000
70		56.210000	89.130000	100.140000
79		56.610000	82.219000	96.904000
81		56.621000	80.945000	95.772000
82		56.608000	80.370000	95.142000
83		56.574000	79.847000	94.470000
88		56.181000	77.823000	90.759000
89		56.003000	77.558000	89.970000
106		49.691000	75.845000	77.134000
107		49.204000	75.683000	76.456000
109		48.203000	75.248000	75.152000
113		46.452000	74.307000	72.394000
114		46.035000	74.113000	71.678000
115		45.619000	73.830000	70.993000
116		45.193000	73.420000	70.381000
119		43.685000	71.919000	68.988000
120		43.052000	71.458000	68.658000
