95.714	44.801	95.244
96.051	44.837	94.463
96.387	44.872	93.682
96.726	44.918	92.903
97.166	45.067	92.191
97.707	45.306	91.58
98.273	45.581	91.007
98.829	45.883	90.439
99.356	46.222	89.864
99.843	46.605	89.281
100.29	47.027	88.694
100.7	47.502	88.115
101.07	48.034	87.564
101.48	48.62	87.099
101.95	49.235	86.742
102.47	49.839	86.453
103.02	50.445	86.208
103.55	51.054	85.959
104.08	51.669	85.697
104.59	52.314	85.461
105.02	53.01	85.238
105.43	53.711	84.976
105.81	54.429	84.717
106.19	55.156	84.484
106.58	55.886	84.285
106.99	56.615	84.117
107.4	57.348	83.987
107.83	58.075	83.882
108.29	58.786	83.779
108.72	59.513	83.686
109.14	60.256	83.626
109.54	61.006	83.611
109.91	61.774	83.609
110.24	62.563	83.612
110.53	63.365	83.626
110.76	64.184	83.667
110.91	65.02	83.759
110.97	65.865	83.857
110.95	66.715	83.94
110.82	67.557	84.007
110.62	68.385	84.06
110.34	69.191	84.103
110	69.971	84.136
109.6	70.729	84.14
109.18	71.467	84.102
108.7	72.172	84.07
108.16	72.831	84.051
107.56	73.434	84.034
106.93	74.014	84.019
106.3	74.577	84.044
105.63	75.109	84.119
104.94	75.589	84.237
104.24	76.063	84.291
103.54	76.546	84.308
102.84	77.042	84.314
102.19	77.591	84.319
101.6	78.204	84.326
101.04	78.848	84.324
100.43	79.441	84.34
99.769	79.975	84.365
99.066	80.454	84.393
98.334	80.887	84.424
97.583	81.282	84.469
96.821	81.655	84.538
96.042	81.994	84.574
95.247	82.293	84.565
94.443	82.569	84.536
93.639	82.843	84.505
92.833	83.107	84.465
92.013	83.327	84.431
91.179	83.484	84.41
90.336	83.588	84.398
89.492	83.682	84.387
88.648	83.773	84.376
87.803	83.857	84.399
86.959	83.929	84.457
86.114	83.977	84.527
85.267	83.992	84.58
84.419	83.974	84.616
83.576	83.916	84.696
82.742	83.817	84.821
81.923	83.636	84.957
81.131	83.354	85.072
80.365	82.999	85.167
79.611	82.62	85.261
78.874	82.209	85.365
78.149	81.777	85.462
77.421	81.341	85.512
76.71	80.877	85.534
76.035	80.361	85.56
75.396	79.801	85.598
74.791	79.205	85.645
74.235	78.564	85.711
73.703	77.901	85.767
73.158	77.248	85.774
72.576	76.627	85.75
72.009	75.992	85.742
71.456	75.346	85.747
70.901	74.701	85.739
70.364	74.04	85.741
69.871	73.347	85.775
69.419	72.628	85.84
68.993	71.893	85.911
68.574	71.154	85.978
68.156	70.412	85.971
67.761	69.664	85.867
67.391	68.914	85.701
67.058	68.158	85.49
66.777	67.404	85.211
66.554	66.662	84.854
66.402	65.921	84.459
66.343	65.168	84.063
66.336	64.409	83.674
66.359	63.649	83.286
66.358	62.874	82.929
66.398	62.087	82.603
66.522	61.299	82.298
66.876	60.555	82.076
67.412	59.905	81.944
67.989	59.285	81.856
68.556	58.652	81.786
69.136	58.032	81.72
69.736	57.43	81.656
70.324	56.815	81.601
70.878	56.169	81.567
71.419	55.51	81.55
71.936	54.832	81.548
72.405	54.12	81.56
72.839	53.386	81.591
73.254	52.642	81.632
73.636	51.879	81.631
73.991	51.103	81.598
74.326	50.32	81.551
74.555	49.499	81.49
74.645	48.654	81.405
74.607	47.81	81.287
74.51	46.971	81.163
74.342	46.142	81.047
74.237	45.308	80.903
74.265	44.475	80.716
74.515	43.699	80.463
