Point No.		Angle
1		76.318446 38.452919 54.890946
2		76.077505 38.378580 55.086756
3		75.829400 38.319579 55.272619
4		75.579108 38.265351 55.457089
5		75.329070 38.213232 55.641712
6		75.078042 38.166269 55.823962
7		74.825394 38.127669 56.000832
8		74.566795 38.105590 56.166165
9		74.291573 38.127191 56.297480
10		74.008753 38.188070 56.394447
11		73.724056 38.285159 56.456947
12		73.440486 38.408867 56.493188
13		73.159224 38.557051 56.504555
14		72.880343 38.723103 56.497831
15		72.605359 38.906810 56.472163
16		72.336050 39.106268 56.428291
17		72.069042 39.312058 56.378186
18		71.808883 39.526500 56.316379
19		71.558021 39.754820 56.235549
20		71.316951 39.994423 56.137922
21		71.091767 40.247747 56.016679
22		70.883380 40.513076 55.872786
23		70.690317 40.788016 55.709554
24		70.534250 41.070236 55.514703
25		70.412572 41.350538 55.299466
26		70.328510 41.620686 55.070208
27		70.264998 41.871687 54.847843
28		70.201521 42.076738 54.674367
29		70.134257 42.264618 54.521856
30		70.068481 42.447286 54.374105
31		70.008508 42.622271 54.230764
32		69.958727 42.788586 54.089861
33		69.913066 42.960121 53.940912
34		69.869700 43.133138 53.789086
35		69.819643 43.324279 53.623087
36		69.761251 43.533482 53.444180
37		69.700267 43.754528 53.255043
38		69.649409 43.972974 53.062129
39		69.606722 44.187513 52.868111
40		69.564615 44.403180 52.672902
41		69.521630 44.623213 52.474147
42		69.475420 44.849768 52.271238
43		69.419655 45.095725 52.055226
44		69.354744 45.357903 51.829231
45		69.281965 45.617194 51.612126
46		69.201350 45.877086 51.400318
47		69.118852 46.137948 51.189405
48		69.036180 46.400166 50.977844
49		68.955886 46.662006 50.765673
50		68.877019 46.929224 50.547687
51		68.805190 47.198416 50.323530
52		68.738996 47.471939 50.091780
53		68.675509 47.748339 49.855941
54		68.615126 48.024301 49.619105
55		68.556015 48.302370 49.379970
56		68.496138 48.584736 49.137766
57		68.437465 48.865780 48.896796
58		68.378337 49.148290 48.655415
59		68.320247 49.434009 48.410878
60		68.261980 49.715428 48.171511
61		68.204637 49.990546 47.938503
62		68.147632 50.259154 47.712430
63		68.079652 50.519870 47.502474
64		68.002980 50.773383 47.306361
65		67.909017 51.024461 47.125422
66		67.788040 51.272151 46.967510
67		67.650794 51.516987 46.824736
68		67.516533 51.746023 46.696227
69		67.384482 51.966915 46.574969
70		67.252242 52.183453 46.458938
71		67.118563 52.391962 46.352570
72		66.983961 52.592337 46.255564
73		66.849018 52.788227 46.163951
74		66.712911 52.978791 46.079119
75		66.575798 53.161853 46.003029
76		66.434551 53.336190 45.939118
77		66.288791 53.497760 45.891528
78		66.139809 53.644337 45.861415
79		65.989260 53.773189 45.850118
80		65.842838 53.879401 45.858010
81		65.699183 53.962351 45.886584
82		65.557244 54.021936 45.936640
83		65.421978 54.053113 46.009162
84		65.289320 54.058902 46.104281
85		65.159927 54.047274 46.213888
86		65.035895 54.022678 46.332128
87		64.924483 53.978483 46.459707
88		64.830510 53.904695 46.602380
89		64.757726 53.801687 46.756864
90		64.713288 53.672882 46.914351
91		64.700361 53.523275 47.067628
92		64.715178 53.360264 47.212570
93		64.731989 53.178567 47.374286
94		64.749549 52.983670 47.548569
95		64.774113 52.775509 47.730731
96		64.798140 52.561157 47.919848
97		64.820310 52.342990 48.114677
98		64.857473 52.120663 48.302532
99		64.908541 51.898311 48.480250
100		64.964426 51.684128 48.646841
101		65.021177 51.476558 48.806827
102		65.077552 51.269262 48.967368
103		65.135076 51.059744 49.129743
104		65.194060 50.847561 49.294169
105		65.253521 50.632740 49.461391
106		65.328226 50.422529 49.612859
107		65.421987 50.225742 49.736876
108		65.524071 50.044238 49.839798
109		65.617425 49.875523 49.937101
110		65.696300 49.709333 50.043335
111		65.761289 49.537256 50.166419
112		65.819374 49.366214 50.294073
113		65.878871 49.176974 50.439330
114		65.939710 48.976870 50.594947
115		65.992314 48.817259 50.716306
116		66.041926 48.723519 50.773533
117		66.103330 48.679132 50.771992
118		66.191608 48.653265 50.731536
119		66.329766 48.627870 50.653362
120		66.517748 48.595188 50.545916
121		66.715882 48.572140 50.422170
122		66.928822 48.554627 50.283037
123		67.154149 48.525388 50.147961
