Point No.		Angle
1		76.427878 38.398748 54.893750
2		76.186353 38.325450 55.087872
3		75.934749 38.272285 55.268521
4		75.681995 38.224153 55.447014
5		75.429188 38.176921 55.627101
6		75.178361 38.128866 55.809511
7		74.926339 38.087685 55.987871
8		74.669184 38.061418 56.155914
9		74.399485 38.067250 56.299789
10		74.117512 38.118203 56.405783
11		73.833862 38.200947 56.481895
12		73.549881 38.314762 56.527949
13		73.267672 38.454847 56.547611
14		72.987275 38.616150 56.546029
15		72.711096 38.792718 56.527897
16		72.439776 38.984902 56.492269
17		72.171444 39.187608 56.445571
18		71.907036 39.397940 56.390179
19		71.651292 39.618884 56.319734
20		71.403432 39.852216 56.232648
21		71.168567 40.095118 56.128377
22		70.950134 40.355290 55.996203
23		70.743816 40.619391 55.852972
24		70.559463 40.898604 55.679998
25		70.418804 41.179110 55.477052
26		70.311516 41.453793 55.258382
27		70.239327 41.713677 55.032175
28		70.177376 41.933699 54.841632
29		70.108294 42.132186 54.679001
30		70.039821 42.319390 54.528156
31		69.974169 42.505043 54.377311
32		69.918728 42.679327 54.231747
33		69.869668 42.854667 54.080978
34		69.824854 43.030721 53.926814
35		69.778065 43.215755 53.764841
36		69.722248 43.417848 53.591451
37		69.654841 43.637273 53.408197
38		69.593001 43.859577 53.218543
39		69.542800 44.078190 53.025200
40		69.500367 44.292793 52.831113
41		69.457050 44.511742 52.633500
42		69.414608 44.729593 52.436820
43		69.363746 44.962631 52.230581
44		69.302008 45.214541 52.012752
45		69.231912 45.474501 51.792874
46		69.154965 45.735470 51.577219
47		69.073620 45.992790 51.368911
48		68.992601 46.254798 51.156185
49		68.912563 46.519008 50.941163
50		68.836955 46.783863 50.723082
51		68.764943 47.055345 50.496435
52		68.699016 47.325006 50.268114
53		68.632226 47.598902 50.036766
54		68.568401 47.875327 49.801507
55		68.508418 48.152048 49.563999
56		68.449180 48.430559 49.324885
57		68.389176 48.713372 49.082711
58		68.330681 48.996000 48.840428
59		68.271241 49.278518 48.599663
60		68.213047 49.564669 48.355185
61		68.153190 49.843352 48.120055
62		68.093229 50.115872 47.891853
63		68.030441 50.382714 47.671962
64		67.961472 50.641785 47.464757
65		67.886154 50.893170 47.270251
66		67.785829 51.141681 47.096801
67		67.658318 51.386064 46.947328
68		67.522674 51.619976 46.814742
69		67.389501 51.843467 46.691474
70		67.258013 52.064479 46.570292
71		67.124601 52.276191 46.460372
72		66.990552 52.479462 46.359922
73		66.855530 52.672026 46.271337
74		66.719761 52.861999 46.186587
75		66.583032 53.047571 46.107563
76		66.445734 53.226456 46.036162
77		66.304315 53.393157 45.980237
78		66.160760 53.545113 45.940750
79		66.015675 53.680627 45.918823
80		65.872720 53.796192 45.915012
81		65.732910 53.889739 45.930435
82		65.595656 53.960390 45.966274
83		65.464041 54.004439 46.023648
84		65.336037 54.021394 46.104479
85		65.210629 54.013288 46.207565
86		65.085661 53.996568 46.318889
87		64.967803 53.965897 46.438417
88		64.863982 53.911199 46.570383
89		64.778946 53.826148 46.717114
90		64.716255 53.712162 46.874487
91		64.687032 53.574166 47.029189
92		64.688072 53.418036 47.178101
93		64.703323 53.245380 47.332197
94		64.720428 53.056754 47.500625
95		64.742611 52.856582 47.676718
96		64.766051 52.646523 47.861915
97		64.787449 52.431178 48.054372
98		64.813212 52.211470 48.248266
99		64.857547 51.988377 48.431661
100		64.912022 51.769176 48.604000
101		64.967305 51.561884 48.764609
102		65.023204 51.356024 48.923863
103		65.080381 51.147312 49.085468
104		65.138293 50.936520 49.249097
105		65.197242 50.723206 49.414966
106		65.259873 50.508217 49.580214
107		65.343969 50.302416 49.720357
108		65.442106 50.109512 49.837405
109		65.540210 49.930381 49.941240
110		65.628433 49.757104 50.047242
111		65.703250 49.580048 50.167680
112		65.767138 49.406863 50.292950
113		65.825746 49.231140 50.425154
114		65.885349 49.036659 50.575889
115		65.940840 48.862263 50.709871
116		65.988771 48.734081 50.803146
117		66.039737 48.672823 50.826513
118		66.107160 48.639223 50.809502
119		66.209821 48.617232 50.754286
120		66.368856 48.588796 50.663597
121		66.557831 48.560289 50.551367
122		66.760178 48.538980 50.422946
123		66.978752 48.517151 50.284276
